week_start,job_count
2023-01-01,3587
2023-01-08,20220
2023-01-15,21033
2023-01-22,20759
2023-01-29,20250
2023-02-05,18408
2023-02-12,16725
2023-02-19,15718
2023-02-26,15068
2023-03-05,15608
2023-03-12,14773
2023-03-19,13571
2023-03-26,13400
2023-04-02,14233
2023-04-09,13326
2023-04-16,14828
2023-04-23,15244
2023-04-30,16403
2023-05-07,14914
2023-05-14,14229
2023-05-21,7182
2023-05-28,9601
2023-06-04,12837
2023-06-11,14121
2023-06-18,14322
2023-06-25,14618
2023-07-02,15131
2023-07-09,13899
2023-07-16,14591
2023-07-23,14914
2023-07-30,15109
2023-08-06,15171
2023-08-13,14714
2023-08-20,16623
2023-08-27,18574
2023-09-03,19878
2023-09-10,15206
2023-09-17,12338
2023-09-24,13344
2023-10-01,14952
2023-10-08,15280
2023-10-15,15724
2023-10-22,15143
2023-10-29,14758
2023-11-05,14065
2023-11-12,14513
2023-11-19,15162
2023-11-26,16207
2023-12-03,13664
2023-12-10,15009
2023-12-17,14339
2023-12-24,12714
2023-12-31,8895
